policy,check_name,passed,lhs,sense,rhs,violation,tolerance
A1 K=1 B=0.00126038,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=1 B=0.00126038,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.00126038,pool_size,True,1.0,<=,1.0,0.0,1e-07
A1 K=1 B=0.00126038,budget,True,0.0,<=,0.0012603766156249999,0.0,1e-07
A1 K=2 B=0.000420126,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=2 B=0.000420126,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=2 B=0.000420126,pool_size,True,2.0,<=,2.0,0.0,1e-07
A1 K=2 B=0.000420126,budget,True,0.0004158882083333333,<=,0.00042012553854166664,0.0,1e-07
A1 K=2 B=0.000840251,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=2 B=0.000840251,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=2 B=0.000840251,pool_size,True,2.0,<=,2.0,0.0,1e-07
A1 K=2 B=0.000840251,budget,True,0.0008334313333333334,<=,0.0008402510770833333,0.0,1e-07
A1 K=2 B=0.00126038,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=2 B=0.00126038,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=2 B=0.00126038,pool_size,True,2.0,<=,2.0,0.0,1e-07
A1 K=2 B=0.00126038,budget,True,0.001255577125,<=,0.0012603766156249999,0.0,1e-07
A1 K=3 B=0.000420126,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=3 B=0.000420126,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=3 B=0.000420126,pool_size,True,3.0,<=,3.0,0.0,1e-07
A1 K=3 B=0.000420126,budget,True,0.0004140435,<=,0.00042012553854166664,0.0,1e-07
A1 K=3 B=0.000840251,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=3 B=0.000840251,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=3 B=0.000840251,pool_size,True,3.0,<=,3.0,0.0,1e-07
A1 K=3 B=0.000840251,budget,True,0.0008381493916666666,<=,0.0008402510770833333,0.0,1e-07
A1 K=3 B=0.00126038,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=3 B=0.00126038,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=3 B=0.00126038,pool_size,True,3.0,<=,3.0,0.0,1e-07
A1 K=3 B=0.00126038,budget,True,0.0010466447083333332,<=,0.0012603766156249999,0.0,1e-07
A1 K=5 B=0.000420126,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=5 B=0.000420126,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=5 B=0.000420126,pool_size,True,5.0,<=,5.0,0.0,1e-07
A1 K=5 B=0.000420126,budget,True,0.0003931905791666667,<=,0.00042012553854166664,0.0,1e-07
A1 K=5 B=0.000840251,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=5 B=0.000840251,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=5 B=0.000840251,pool_size,True,5.0,<=,5.0,0.0,1e-07
A1 K=5 B=0.000840251,budget,True,0.0008359249666666667,<=,0.0008402510770833333,0.0,1e-07
A1 K=5 B=0.00126038,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=5 B=0.00126038,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=5 B=0.00126038,pool_size,True,5.0,<=,5.0,0.0,1e-07
A1 K=5 B=0.00126038,budget,True,0.0012603305583333334,<=,0.0012603766156249999,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,cascade_ids_in_saved_candidates,True,0.0,==,0.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,cascade_ids_in_candidates,True,0.0,==,0.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,selected_model_linking,True,0.0,==,0.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,pool_size,True,5.0,<=,5.0,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,budget,True,0.0008274897458333333,<=,0.0008402510770833333,0.0,1e-07
A2 K=5 B=0.000840251 Emax=0.75,escalation,True,0.0,<=,0.75,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,cascade_ids_in_saved_candidates,True,0.0,==,0.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,cascade_ids_in_candidates,True,0.0,==,0.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,selected_model_linking,True,0.0,==,0.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,pool_size,True,5.0,<=,5.0,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,budget,True,0.0007812571291666668,<=,0.0008402510770833333,0.0,1e-07
A3 K=5 B=0.000840251 Emax=0.75,escalation,True,0.0,<=,0.75,0.0,1e-07
